crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
Wheat,Clayey,62,191,27.42,92.91,0.36,0.32,5.06,3.41,42.23,23.32,36.69,2,0.918,60.08,0.79,173.2,10,0.438,0,0
Rice,Sandy,12,66,16.85,87.68,4.06,3.84,24.93,4.87,20.96,11.47,17.67,2.67,0.669,76.65,0.887,85,5,0.497,0,0
Wheat,Clayey,91,303,32.64,50.69,0.42,0.42,17.25,1.51,39.81,21.07,31.65,2.143,0.599,63.84,0.54,155.67,1,0.574,0,0
Wheat,Sandy,117,235,28.45,83.56,0.64,0.3,5.83,1.75,23.01,11.33,20.43,2,0.45,64.28,0.482,108.54,10,0.404,0,0
Maize,Loamy,30,278,16.98,40.51,0.41,0.18,12.15,3.09,35.17,18,26.85,2,0.895,71.31,0.656,157.99,8,0.45,1,280.8833
Maize,Silty,85,202,34.52,42.79,0.02,0.01,13.92,4.02,28.77,17.67,17.73,2.787,0.875,62.79,0.803,81.47,10,0.33,1,533.7249
Wheat,Clayey,38,350,27.58,41.78,3.25,3.05,24.58,1.98,38.39,24.27,35.28,2,0.954,77.16,0.33,102.06,6,0.432,0,0
Wheat,Clayey,85,225,36.2,35.7,0.95,0.9,15.86,4.27,43.01,21.26,25.29,3.089,0.665,82.11,0.383,87.99,6,0.529,1,329.7675
Tomato,Silty,60,83,36.08,85.55,0.49,0.42,24.73,1.58,29.96,17.22,18.8,2.625,1.011,69.79,0.868,155.25,2,0.326,1,578.3569
Rice,Clayey,38,46,36.17,67.62,1.16,0.59,20.84,4.43,39.93,22.76,34.74,2.853,1.064,88.05,0.479,99.4,4,0.595,0,0
Tomato,Sandy,104,89,16.79,46.83,2.07,2.07,5.83,1.64,28.09,14.36,26.54,2.219,0.63,81.32,0.708,172.76,6,0.554,0,0
Maize,Silty,15,186,17.78,85.16,2.1,1.61,29.22,3.28,27.18,17.85,25.28,2.111,0.597,89.67,1.143,121.1,3,0.406,1,16.6291
Maize,Sandy,18,189,37.72,82.17,1.37,1.27,9.54,2.11,29.65,10.08,23.29,3.061,0.657,78.2,1.076,151.93,10,0.577,0,0
Maize,Sandy,52,246,26.21,36.56,2.05,1.22,11.89,1.95,26.14,8.33,16.25,2,1.082,73.82,0.357,162.49,1,0.527,1,183.5211
Maize,Loamy,29,46,20.48,71.87,1.67,1.3,25.23,2.09,31.68,17.92,26.31,2,0.875,82.92,0.353,175.31,5,0.452,0,0
Wheat,Sandy,112,257,32.7,76.92,5.19,3.57,9.75,2.75,26.5,11.74,26.5,2,0.45,71.84,0.431,126.17,4,0.577,0,0
Maize,Loamy,102,352,21.08,76.53,0.09,0.08,15.03,4.3,37.05,18.96,22.43,2,0.688,60.02,0.405,147.11,6,0.368,1,401.4524
Wheat,Clayey,60,61,31.73,77,6.08,5.86,26.62,3.92,36.68,22.62,29.31,3.397,0.94,66.39,0.528,116.43,6,0.366,1,245.0604
Wheat,Clayey,21,105,34.26,41.01,0.84,0.7,20.93,2.52,40.63,18.82,34.04,2.568,0.818,66.17,0.635,108.35,5,0.31,1,292.9489
Maize,Loamy,17,337,33.04,50.48,3.84,2.44,12.55,1.77,32.29,17.1,24.56,2.513,0.637,74.67,0.375,148.68,9,0.312,1,167.7191
Maize,Sandy,105,14,21.3,84.87,1.56,1.53,21.1,4.34,28.64,9.52,19.93,2.63,0.655,81.35,0.714,120.42,2,0.465,1,308.5156
Rice,Silty,115,301,24.24,88.4,1.05,0.47,25.32,4.42,26.83,16.33,16.71,3.213,0.63,76.71,0.777,137.24,8,0.427,1,452.0154
Tomato,Silty,18,77,24.5,48.15,2.87,1.96,15.1,2.54,34.76,14.68,28.43,2,0.678,63.1,0.895,99.86,4,0.581,0,0
Maize,Loamy,57,230,26.3,31.5,4.39,2.71,19.29,3.63,33.5,16.27,23.56,2.511,1.124,67.82,0.666,151.47,1,0.364,1,452.3505
Rice,Clayey,119,167,18.85,85.88,1.79,1.58,29.7,2.16,35.5,19.25,24.11,2,0.63,64.1,0.566,176.94,3,0.494,0,0
Rice,Clayey,37,66,25.41,54.51,1.89,1.46,29.11,1.17,35.93,21.46,27.04,2.456,1.056,62.39,0.879,133.78,2,0.396,1,510.1136
Tomato,Silty,60,32,26.75,51.42,0.18,0.08,17.73,1.95,34.78,16.72,28.1,2.123,1.011,64.7,1.12,132,10,0.543,0,0
Wheat,Loamy,38,96,27.23,52.55,7.73,5.46,7.4,3.57,36.02,17.43,29.07,2,0.954,75.59,0.657,165.43,3,0.568,0,0
Maize,Silty,12,58,33.86,57.02,5.63,4.96,22.52,3.96,31.17,14.26,30.02,4.199,0.538,82.67,0.564,95.16,1,0.455,1,5.632
Tomato,Sandy,75,104,26.9,54.59,1.52,1.15,11.72,4.33,21.78,12.13,13.8,2.369,0.894,71.91,0.946,119.35,3,0.502,1,404.1785
Maize,Sandy,112,312,20.31,66.82,4.34,2.62,21.74,0.58,25.28,14.61,23.16,2.057,0.54,66.02,1.09,97.37,10,0.566,0,0
Rice,Loamy,116,134,30.25,35.13,1.13,0.65,13.79,2.69,36.5,18.87,29.13,2.358,0.63,72.91,1.164,134.64,10,0.425,1,474.465
Rice,Loamy,113,217,33.34,93.15,3.93,3.82,22.97,1.73,30.93,18.8,27.59,3.188,0.63,69.9,0.498,141.64,7,0.452,0,0
Wheat,Sandy,84,67,22.35,90.87,2.18,1.05,14.18,3.58,29.83,12.6,27.74,2,0.676,61.34,0.572,171.39,5,0.335,0,0
Rice,Clayey,73,178,29.84,90.74,1.85,1.48,28.53,1.6,42.42,24.86,34.44,3.545,1.036,87.68,1.115,163.09,7,0.58,1,65.4458
Rice,Loamy,1,247,18.38,87.15,0.17,0.17,8.42,3.05,33.91,19.12,25.92,2,0.422,60.32,0.543,144.65,5,0.453,1,301.318
Tomato,Sandy,58,294,22.86,72.92,10.09,5.07,6.71,3.7,24,10.98,16.02,2.19,1.027,61.24,0.611,157.47,3,0.404,1,331.2301
Maize,Sandy,3,235,35.91,44.37,5.45,2.75,24.53,3.97,26.58,9.79,17.15,2.209,0.36,69.01,0.876,142.87,7,0.565,0,0
Maize,Clayey,63,131,35.96,33.22,4.73,3.81,15.03,1.71,44.93,20.3,30.89,2,1.117,83.3,0.811,137.09,3,0.547,1,562.2185
Tomato,Clayey,21,112,28.23,36.46,1.09,0.58,16.64,0.9,36.23,20.26,32.37,2,0.741,74.67,1.09,84.77,3,0.368,0,0
Wheat,Clayey,23,54,31.15,51.06,1.03,0.45,28.35,1.48,43.56,20.2,31.96,2.917,0.834,75.34,0.851,82.44,8,0.577,0,0
Maize,Clayey,9,290,34.64,62.75,2.55,1.63,19.75,3.2,41.11,24.55,30.18,2.433,0.478,78.51,0.74,165.22,8,0.458,1,382.2939
Rice,Silty,118,239,37.05,94.56,5.62,2.5,21.5,0.68,27.6,12.79,22.74,2.079,0.63,61.2,0.367,108.19,6,0.444,0,0
Maize,Clayey,83,240,26.27,58.3,8.18,5.26,5.49,1.21,35.97,21.08,34.26,2,0.897,88.76,1.178,115.09,8,0.454,0,0
Rice,Silty,109,295,27.92,64.1,0.94,0.88,21.76,4.98,26.04,14.72,22.55,2.72,0.709,76.49,0.68,124.94,1,0.317,1,116.8564
Wheat,Loamy,55,112,24.56,75.19,2.81,1.87,14.71,2.22,38.63,18.89,35.05,2.001,0.995,84.71,0.815,84.24,3,0.473,0,0
Tomato,Sandy,110,88,16.66,41.75,3.86,2.82,16.51,2.73,25.82,13.95,18.26,2,0.63,72.87,0.752,176.16,2,0.321,0,0
Maize,Silty,116,228,24.72,90.63,0.77,0.5,25.2,0.55,26,15.66,17.07,2.25,0.54,73.07,0.964,90.3,6,0.345,1,500.8624
Tomato,Loamy,19,304,33.18,64.39,1.57,0.83,18.09,3.16,31.16,17.41,25,3.499,0.699,65.05,0.882,176.82,7,0.579,0,0
Maize,Loamy,62,305,33.51,47.96,0.62,0.35,29.67,1.96,34.63,16.33,25.64,3.611,1.128,70.8,0.608,150.79,5,0.579,0,0
Rice,Silty,87,290,35.52,90.78,3.6,1.54,24.92,2.89,33.3,13.37,28.51,3.58,0.909,65.55,0.768,174.31,3,0.323,0,0
Tomato,Loamy,91,208,16.18,70.65,5.98,5.91,23.21,2.87,35.52,17.41,29.07,2,0.77,87.38,1.043,85.23,1,0.483,0,0
Maize,Loamy,91,356,27.12,61.44,6.3,5.46,19.72,4.85,34.32,15.17,23.48,3.129,0.809,69.85,0.87,124.74,1,0.309,1,586.8707
Rice,Silty,39,274,17.47,67.71,3.33,1.52,15.31,1.71,31.97,12.08,31.76,2,1.072,71.99,1.159,175.27,3,0.6,0,0
Tomato,Loamy,100,70,19.62,78.64,1.28,1.15,6.32,3.07,38.21,16.33,31.19,2,0.7,64.03,0.979,144.64,3,0.542,0,0
Tomato,Clayey,76,220,35.7,40.04,3.25,1.71,5.46,2.22,36.2,20.92,35.56,2.602,0.887,89.77,0.737,134.68,2,0.342,0,0
Maize,Clayey,119,231,26.43,86.21,5.99,3.43,6.17,2.4,40.59,20.17,29.79,2.764,0.54,77.14,1.026,147.16,3,0.365,1,528.8317
Maize,Sandy,27,290,32.45,92.37,2.95,1.76,28.97,0.75,21.22,8.13,14.06,2.68,0.835,77.24,0.698,98.63,5,0.312,1,254.8593
Maize,Loamy,46,307,16.48,66.85,1.6,1.26,13.08,3.6,37.04,19.43,34.52,2,1.031,64.37,0.492,154.59,5,0.517,0,0
Rice,Sandy,34,361,24.59,74.35,7.57,7.41,22.52,1.38,21.01,9.61,17.37,2,1.032,80.38,0.867,107.57,1,0.394,0,0
Maize,Clayey,33,349,30.51,85.89,5.41,4.79,19.86,2.61,35.2,24.2,33.74,2,0.92,80.43,0.619,108.17,3,0.336,0,0
Tomato,Clayey,92,255,18.07,54.36,6.42,4.9,19.29,2.45,39.45,24.48,26.31,2,0.762,87.13,0.322,139.74,5,0.505,1,212.5853
Tomato,Clayey,95,142,22.49,94.53,7.01,4.58,19.48,2.61,39.68,24.04,27.98,2.187,0.739,68.51,0.493,82.11,4,0.478,1,332.3013
Maize,Loamy,96,69,16.48,74.23,1.5,1.32,12.56,2.19,39.52,16.68,23.01,2,0.754,86.09,0.45,85.4,2,0.577,1,329.7115
Maize,Loamy,50,89,29.98,57.56,5.89,2.8,27.16,1.59,36.41,18.33,28.73,2.683,1.065,73.31,1.015,81.59,10,0.405,0,0
Wheat,Clayey,20,359,37.33,74.03,2.53,1.42,27.98,2.52,35.21,21.07,27.99,3.147,0.81,66.76,0.954,156.68,5,0.52,1,460.3991
Tomato,Sandy,40,136,34.02,63.91,0.12,0.11,21.11,0.71,28.55,14.62,27.27,2.499,0.938,79.82,0.853,82.69,3,0.329,0,0
Rice,Sandy,99,143,37.42,37.26,3.03,2.69,26.6,1.59,28.99,14.81,20.36,3.171,0.8,60.98,1.141,89.57,5,0.557,1,651.5834
Wheat,Silty,95,339,34.45,81.73,1.91,1.29,6.5,4.03,31.53,13.4,24.51,2.824,0.555,85.74,0.46,140.66,1,0.514,0,0
Maize,Clayey,58,187,34.67,66.68,0.97,0.76,7.51,4.29,40.75,20.95,29.78,2.684,1.133,61.96,0.447,127.49,7,0.335,0,0
Maize,Sandy,31,11,28.28,81.73,10.56,8.97,18.98,3.72,22.59,13.41,19.41,2.986,0.903,71.96,1.118,116.6,5,0.521,1,32.7919
Tomato,Clayey,38,148,26.92,40.07,0.17,0.07,26.16,3.35,41.29,23.53,27.35,2.647,0.922,64.3,0.882,115.56,9,0.31,1,762.3106
Maize,Sandy,86,292,24.34,64.99,8.75,5.89,12.89,4.15,22.69,14.33,22.69,2,0.864,74.12,0.802,165.95,7,0.58,0,0
Rice,Silty,45,338,33.82,79.83,0.52,0.36,18.7,1.08,27.39,15.61,15.61,2.715,1.12,88.72,0.966,87.79,8,0.53,0,0
Tomato,Silty,41,38,19.19,94.24,1.42,1.29,5.25,2.86,25.57,15.25,18.88,2,0.945,64.28,0.554,172.61,7,0.478,0,0
Maize,Clayey,9,345,16.29,87.49,1.62,0.84,29.67,1.02,35.99,20.33,31.92,2.401,0.478,63.23,0.835,103.57,9,0.545,1,25.8422
Tomato,Sandy,116,208,36.8,86.18,3.94,1.96,24.17,4,28.61,14.25,15.32,3.032,0.63,65.94,0.684,128.77,9,0.306,1,607.3774
Maize,Loamy,9,210,15.09,46.08,0.73,0.52,14.04,2.84,37.67,16.84,35.01,2,0.478,88.15,0.576,175.7,1,0.371,0,0
Maize,Silty,63,1,37.47,84.47,12.83,10.09,29.58,4.15,30.79,13.34,26.12,3.308,1.117,68.43,1.089,143.88,2,0.474,0,0
Maize,Clayey,79,360,31.76,41,4.15,1.83,7.31,4.1,41.78,20.43,33.38,2.948,0.941,78.21,0.445,105.13,6,0.406,1,212.8495
Rice,Clayey,77,65,22.56,42.88,4.68,3.17,16.6,2.6,37.21,22.09,25.31,2.156,1,68.66,0.316,178.24,8,0.304,1,246.8864
Rice,Sandy,22,1,31.05,37.16,0.34,0.16,6.47,2.74,21.12,12.81,16.62,2,0.893,81.59,0.623,161.45,4,0.536,1,134.516
Tomato,Clayey,16,243,33.81,85.74,1.94,1.18,13.37,0.63,36.87,21.87,28.25,2,0.636,78.93,0.479,111.41,9,0.359,1,226.3915
Maize,Silty,32,316,20.64,37.04,8.73,6.72,10.48,2.86,28.93,15.4,28.92,2,0.912,88.79,1.03,139.92,2,0.595,0,0
Maize,Clayey,66,25,32.73,38.98,0.94,0.91,12.91,3.55,37.46,20.17,34.79,2.28,1.084,69.87,0.414,135.62,6,0.378,0,0
Rice,Clayey,90,347,33.5,45.98,0.47,0.33,28.69,1.55,36.4,23.44,35.82,2.896,0.882,69.38,1.144,141.66,8,0.353,0,0
Maize,Loamy,14,50,20.74,67.22,1.99,1.09,15.68,4.94,30.7,16.88,29.17,2,0.578,83.38,0.451,92.24,2,0.355,0,0
Rice,Loamy,38,348,15.96,87.21,7.99,6.98,13.12,4.89,34.49,15.98,28.33,2,1.064,64.75,1.1,144.55,1,0.482,0,0
Maize,Silty,98,241,19.69,57.18,2,1.1,21.02,1.77,28.85,14.51,28.85,2.049,0.732,81.84,0.452,101.41,7,0.477,1,1.6927
Tomato,Sandy,8,32,19.61,65.51,1.56,1.48,22.08,3.71,22.24,12.47,18.52,2.04,0.468,83.16,0.343,111.93,10,0.411,0,0
Maize,Loamy,100,33,16.5,40.82,3.15,1.72,29.59,0.64,30.31,15.99,30.31,2.003,0.71,85.75,0.739,134.54,9,0.403,0,0
Maize,Sandy,21,200,31.7,47.29,8.29,5.98,18.65,3.5,26.24,12.39,16.39,3.035,0.716,80.69,0.621,101.3,8,0.319,1,286.0079
Wheat,Silty,56,234,23.74,38.71,0.15,0.09,23.81,3.31,27.65,16.1,25.58,2.74,0.984,65.01,0.838,169.22,8,0.555,0,0
Rice,Loamy,46,26,35.34,56.64,0.5,0.27,14.55,4.2,34.7,17.64,28.48,2.714,1.128,70.08,0.877,121.76,7,0.35,1,287.3405
Maize,Sandy,43,42,20.8,68.37,0.43,0.42,9.28,1.87,23.33,14.89,21.65,2.463,1.005,61.68,1.141,96.55,8,0.599,0,0
Maize,Loamy,120,61,25.42,48.46,0.27,0.21,15.75,4.45,37.37,16.24,34.91,2.107,0.54,82.58,1.157,86.08,8,0.395,0,0
Wheat,Silty,92,41,29.7,84.99,1.08,0.65,15.47,4.36,27.37,16.65,20.85,2,0.588,80.73,0.745,158.14,4,0.528,1,206.9693
Wheat,Silty,46,130,35.18,93.78,0.78,0.6,15.52,3.51,28.88,12.55,17.21,2.911,1.018,75.45,0.488,162.83,3,0.381,1,314.3211
Rice,Loamy,108,355,27.07,37.81,2.39,1.03,22.39,2.63,30.36,17.07,19.52,2,0.718,89.36,0.523,88,4,0.3,1,232.1788
Wheat,Sandy,48,354,23.59,31.16,1.19,0.69,15.15,3.28,24.15,12.95,21.41,2.951,1.034,69.59,0.39,134.26,8,0.408,0,0
Tomato,Clayey,70,198,34.94,81.34,1.56,0.83,28.85,3.78,40.75,23.39,31.95,3.86,0.933,86.71,0.552,145.33,7,0.348,1,256.3995
Wheat,Clayey,84,287,22.14,42.39,8.53,5.2,29.57,4.89,38.18,22.37,32.43,2.126,0.676,65.45,1.12,170.83,5,0.303,1,405.3515
Tomato,Loamy,31,151,16.83,52.95,0.51,0.35,18.08,1.05,38.86,15.35,29.38,2,0.87,88.65,0.628,84.83,2,0.468,0,0
Rice,Sandy,33,204,25.24,55.63,1.48,0.79,18.96,1.91,27.08,13.01,15.82,2,1.024,68.66,0.867,114.75,9,0.399,1,558.8773
Rice,Clayey,44,182,33.06,89.58,0.89,0.65,15.19,4.01,42.94,19.88,39.08,2.206,1.112,84.19,1.183,91.94,10,0.307,0,0
Rice,Silty,71,207,15.71,72.82,2.39,2.13,13.89,2.34,29.17,13.44,26.07,2,1.055,63.37,0.396,122.86,6,0.476,0,0
Rice,Sandy,8,147,28.48,32.64,4,2.49,29.63,3.53,23.09,14.78,19.45,2.891,0.579,72.28,0.998,117.22,2,0.538,0,0
Rice,Clayey,73,204,28.67,30.96,5.09,4.86,6.02,1.1,39.46,23.94,33.8,2,1.036,88.98,0.93,139.53,1,0.545,0,0
Tomato,Sandy,2,48,36.36,42.97,2.17,1.59,15.25,3.69,27.95,11.11,24.92,2.469,0.342,69.34,1.037,147.51,6,0.448,0,0
Tomato,Loamy,17,258,21.59,50.68,5.79,2.52,8.78,3.53,39.92,19.2,30.73,2.153,0.657,83.42,0.423,176.45,3,0.446,1,31.0522
Rice,Sandy,52,139,21.41,61.49,4.61,2.67,23.16,3.14,24.83,10.17,13.78,2,1.176,74.53,0.752,96.29,3,0.462,1,491.1952
Wheat,Clayey,45,172,25.13,84.46,0.51,0.36,9.86,3.94,35.75,21.25,29.28,2,1.01,78.16,0.869,159.92,10,0.311,1,290.2335
Maize,Loamy,37,101,23.21,50.46,0.84,0.49,27.12,4.46,33.6,18.56,28.99,2.827,0.954,77.96,0.984,164.6,9,0.565,0,0
Rice,Sandy,42,187,31.94,54.47,3.34,2.11,14.36,4.23,20.2,13.82,20.2,2.347,1.096,77.11,0.941,136.51,7,0.415,1,1.7461
Wheat,Silty,44,315,29.76,51.41,11.04,9.09,27.93,1.07,29.17,14.82,20.11,3.525,1.002,74.5,0.814,158.78,3,0.492,1,426.7834
Maize,Clayey,81,294,32.46,30.58,1.42,1.24,29.66,3.85,36.83,24.56,26.13,3.558,0.919,65.72,0.722,114.96,6,0.501,1,446.3221
Rice,Loamy,117,363,33.86,92.09,0.78,0.43,24.28,2.52,33.98,19.21,29.83,3.05,0.63,60.37,1.148,83.46,8,0.591,0,0
Rice,Sandy,38,21,36.23,39.03,6.1,4.9,20.58,2,22.37,8.68,8.68,3.308,1.064,80.32,0.464,95.07,3,0.517,1,272.0413
Tomato,Silty,99,298,24.91,48.7,0.67,0.32,8.75,4.46,31.36,17.91,21.79,2.657,0.708,81.18,0.484,96.74,5,0.469,0,0
Maize,Clayey,111,10,37.65,38.4,3.59,1.96,28.33,3.02,41.47,22.26,33.03,3.152,0.54,83.22,0.4,167.54,5,0.366,0,0
Maize,Silty,103,187,19.96,61.89,0.1,0.05,24.42,2.76,29.42,13.7,25.31,2.806,0.677,87.93,0.401,175.79,1,0.561,0,0
Wheat,Sandy,94,133,31.43,90.59,0.06,0.05,12.2,4.03,24.31,9.04,15.91,2.064,0.566,64.88,1.086,120.26,5,0.382,1,654.3563
Tomato,Sandy,6,33,27.28,36.55,1.8,0.89,16.71,2.99,22.62,11.41,15.25,2,0.426,86.71,0.846,145.63,10,0.385,1,304.3646
Tomato,Loamy,68,69,33.79,58.66,3.21,2.5,6.69,4.36,31.45,18.96,22.65,2.561,0.949,67.08,1.142,110.33,2,0.413,0,0
Tomato,Silty,51,80,25.97,31.45,0.46,0.4,21.48,0.96,25.12,13.93,15.71,2.38,1.02,76.27,1.098,124.56,9,0.459,1,539.7085
Tomato,Loamy,101,191,33.03,80.11,4.33,3.49,8.13,3.99,35.17,19.64,33.76,3.422,0.63,67.78,0.57,142.07,6,0.449,0,0
Maize,Clayey,35,101,36.39,71.68,0.41,0.29,21.29,1.24,40.73,20.06,36.28,2.506,0.937,64.17,0.877,165.62,2,0.475,0,0
Maize,Loamy,58,285,31.84,75.48,2.29,1.68,21.79,1.51,33.52,16.7,28.83,2.543,1.133,61.54,0.641,122.68,10,0.517,0,0
Rice,Clayey,57,221,32.85,60.7,1.11,0.85,13.12,1.31,36.8,19.01,25.29,3.104,1.182,70.31,1.089,149.9,6,0.323,1,730.7733
Rice,Sandy,73,53,16.55,89,4.19,2.86,28.72,1.57,24.81,9.89,13.42,3.116,1.036,89.14,0.961,104.87,5,0.43,0,0
Tomato,Sandy,6,160,19.71,56.62,4.89,3.41,24.47,3.79,20.92,9.52,14.61,2,0.426,74.18,0.411,112.86,5,0.391,1,160.575
Tomato,Silty,13,42,37.41,63.42,0.21,0.17,17.42,3.45,30.21,13.54,24.15,2.652,0.573,61.13,0.528,101.95,8,0.308,1,220.389
Tomato,Clayey,59,47,30.94,75.19,0.64,0.46,27.96,1.53,37.38,22.34,30.72,2.345,1.019,80.24,0.892,166.5,1,0.42,1,310.1565
Rice,Sandy,86,159,27.91,63.84,6.69,4.84,26.4,1.72,26.89,9.69,14.83,2.294,0.918,66.05,0.522,91.85,4,0.4,0,0
Wheat,Silty,92,184,23.44,42.31,1.61,1.27,22.31,0.95,29.72,16.59,18.88,2,0.588,61.75,0.781,157,8,0.543,1,577.9327
Wheat,Silty,30,246,16.02,50.61,1.94,1.57,8.82,2.36,31.9,12.42,25.8,2,0.89,83.78,0.52,143.19,5,0.432,1,25.4291
Rice,Loamy,116,11,23.49,36,0.55,0.38,17.43,2.2,33.6,18.62,18.98,2.048,0.63,73.39,0.914,145,10,0.322,1,743.0758
Rice,Silty,100,154,26.47,58.12,15.83,8.41,26.61,1.16,26.79,13.18,17.82,2,0.791,89.32,0.368,167.69,3,0.498,1,153.1862
Rice,Sandy,2,220,19.86,69.61,7.69,7.09,20.22,4.26,26.3,9.99,26.3,2.037,0.445,81.44,0.949,133.08,3,0.559,0,0
Rice,Loamy,58,155,18.98,37.7,0.01,0,18.64,4.34,33.24,17.61,18.27,2,1.173,68.66,0.603,87.58,1,0.424,1,584.5702
Rice,Clayey,36,339,26.69,70.99,2.4,1.3,28.88,0.99,42.51,21.49,28,2.614,1.048,89.44,0.708,173.11,4,0.587,1,406.0995
Rice,Clayey,72,365,28.48,88.04,6.17,3.09,5.41,1.7,43.93,18.75,24.96,2.576,1.045,86.12,0.735,113.74,7,0.572,0,0
Tomato,Sandy,45,283,20.52,51.95,1.69,1.03,5.3,3.81,27.54,11.81,18.78,2,0.975,69.48,0.475,82.98,7,0.384,1,252.3921
Tomato,Sandy,106,187,28.51,44.43,1.72,1.23,27.32,4.41,28.17,10.21,17.52,3.439,0.63,68.72,1.148,133.32,8,0.583,1,719.5378
Tomato,Loamy,114,62,35.71,88.05,1.43,1.4,5.96,0.82,34.82,19.12,23.09,2,0.63,75.07,0.3,115.84,5,0.516,1,216.3894
Tomato,Loamy,9,148,25.88,74.98,0.09,0.09,13.31,4.56,38.32,16.88,32.03,2.071,0.489,76.25,0.635,171.18,4,0.537,1,33.9541
Rice,Sandy,65,144,34.72,36.85,4.69,3.07,28.1,0.78,28.22,12.78,15.02,2.366,1.109,77.36,0.416,131.07,3,0.505,1,277.5173
Wheat,Sandy,77,103,36.33,56.53,1.83,1.01,22.28,3.35,24.09,14.79,19.64,3.82,0.753,66.53,0.624,85.34,6,0.32,1,179.5774
Maize,Clayey,50,300,17.13,73.82,2.27,1.84,21.2,0.6,35.31,20.68,32.79,2,1.065,61.64,0.394,103.81,10,0.593,0,0
Rice,Clayey,79,93,17.2,67.33,0.89,0.58,21.42,4.68,38.07,24.55,28.41,2.078,0.982,76.25,0.641,102.32,5,0.389,1,336.4706
Maize,Clayey,32,286,25.95,70.21,4.6,1.89,12.94,2.09,35.99,22.4,26.01,2.338,0.912,78.19,0.474,156.41,5,0.35,1,208.1109
Wheat,Sandy,98,119,28.53,66.86,4.74,2.17,18.26,3.42,27.17,9.29,26.36,2.384,0.522,88.74,0.798,86.59,4,0.561,0,0
Tomato,Silty,43,29,24.8,81.87,2.42,1.53,20.75,1.33,26.5,12.29,23,2,0.96,76.31,0.311,112.55,9,0.498,0,0
Wheat,Sandy,95,30,22.51,50.83,7.05,5.58,12.64,1.95,21.59,13.66,20.43,2,0.555,64.69,0.755,147.08,8,0.401,0,0
Rice,Sandy,78,360,29.74,76.05,0.37,0.17,24.88,3.86,29.44,14.31,19.97,3.408,0.991,69.22,0.554,141.34,10,0.44,1,329.4754
Tomato,Clayey,54,288,15.05,94.42,4.63,4.28,13.04,4.88,38.65,23.08,30.07,2,1.042,61.56,0.589,144.76,8,0.581,0,0
Rice,Sandy,47,138,37.27,55.35,2.45,1.9,6.79,4.96,28.27,13.69,16.77,2.868,1.136,60.46,0.619,135.94,5,0.475,1,494.8569
Tomato,Loamy,14,51,20.34,81.42,0.79,0.43,10.04,4.14,30.63,16.07,29.66,3.219,0.594,74.34,0.887,97.57,1,0.413,0,0
Maize,Sandy,48,292,36.09,46,0.43,0.32,15.21,4.31,29.39,13.18,15.78,2.803,1.048,79.86,0.982,147.43,3,0.594,1,758.9188
Maize,Sandy,55,234,17.51,48.32,1.07,0.93,27.7,4.86,28.34,11.6,16.62,3.438,1.107,88.54,0.597,175.09,8,0.314,1,289.6266
Maize,Sandy,29,55,20.48,90.77,5.82,4,15.39,0.68,23.93,12.56,22.28,2.284,0.875,79.01,1.132,84.11,1,0.426,0,0
Wheat,Sandy,47,292,20.4,31.69,4.65,2.8,7.25,1.27,24.73,10.62,20.99,2,1.026,65.43,0.972,116.18,9,0.366,0,0
Rice,Silty,63,240,37.91,44.13,3.11,2.94,9.91,0.74,28.48,12.95,19.83,2.735,1.127,87.22,0.663,109.16,6,0.396,1,271.3892
Wheat,Sandy,19,312,15.11,61.39,0.28,0.19,18.61,2.76,25.29,11.64,20.56,2,0.782,86.4,0.388,94.81,1,0.313,1,91.0713
Maize,Loamy,91,36,29.71,56.12,9.29,6.85,9.44,4.81,35.91,15.58,22.45,2,0.809,72.23,0.804,106.44,8,0.459,1,593.1187
Rice,Loamy,9,89,35,70.9,1.09,0.96,6.6,3.12,39.15,18.71,24.79,2,0.602,75.67,0.852,82.54,5,0.312,1,651.62
Maize,Sandy,101,212,30.46,42.53,2.8,1.92,22.87,3,21.31,8.56,9.27,2.831,0.699,74.98,0.423,144.28,7,0.42,1,284.2548
Wheat,Clayey,37,318,23.34,34.59,4.88,2.38,24.61,4.22,41.43,20.39,36.51,3.168,0.946,73.21,1.067,141.24,2,0.558,0,0
Wheat,Silty,107,365,37.04,54.01,0.43,0.33,26.27,4.68,28.19,17.04,17.44,3.57,0.45,69.89,0.643,130.34,10,0.565,1,410.2622
Wheat,Sandy,92,245,35.55,64.08,3.17,1.51,26.1,3.64,23.45,12.43,12.73,2.535,0.588,89.6,0.437,111.4,10,0.542,1,229.1996
Maize,Sandy,52,87,24.98,66.53,0.1,0.06,14.48,4.53,25.37,9.84,16.76,2,1.082,87.25,0.769,177.62,7,0.516,1,301.7726
Rice,Sandy,57,240,28.19,69.1,0.32,0.15,23.36,1.29,23.32,14.6,17.56,2,1.182,70,0.68,141.92,3,0.564,1,238.1272
Rice,Clayey,88,320,37.25,65.66,3.85,3.68,19.59,2.77,38.31,23.49,36.52,3.87,0.9,78.43,0.878,168.74,5,0.326,0,0
